Altium Designer Pick and Place Locations
C:\Users\vvosahlo\cernbox\Documents\altium\fastic-readout-hw-v2.0\Project Outputs for fastic-readout\Pick Place for fastic-readout_PANEL(fastic-readout).csv

========================================================================================================================
File Design Information:

Date:       28/11/24
Time:       10:37
Revision:   Not in VersionControl
Variant:    fastic-readout
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C39","4.7uF","TopLayer","CAPC1608X87N","100.5900","128.8750","270","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","26.9300","57.7800","180","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","26.9300","127.7800","180","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","96.9300","57.7800","180","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","96.9300","127.7800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","29.5900","63.2800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","29.5900","133.2800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","99.5900","63.2800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","99.5900","133.2800","180","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","29.1400","65.2300","270","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","29.1400","135.2300","270","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","99.1400","65.2300","270","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","99.1400","135.2300","270","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","27.2500","67.7800","180","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","27.2500","137.7800","180","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","97.2500","67.7800","180","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","97.2500","137.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","24.8000","67.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","24.8000","137.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","94.8000","67.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","94.8000","137.7800","180","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","22.9800","67.7800","0","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","22.9800","137.7800","0","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","92.9800","67.7800","0","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","92.9800","137.7800","0","Non-polarised capacitor"
"C46","4.7uF","TopLayer","CAPC1608X87N","30.5900","65.7450","90","Non-polarised capacitor"
"C46","4.7uF","TopLayer","CAPC1608X87N","30.5900","135.7450","90","Non-polarised capacitor"
"C46","4.7uF","TopLayer","CAPC1608X87N","100.5900","65.7450","90","Non-polarised capacitor"
"C46","4.7uF","TopLayer","CAPC1608X87N","100.5900","135.7450","90","Non-polarised capacitor"
"C48","100nF","TopLayer","CAPC1005X55N","67.8000","41.9000","180","Non-polarised capacitor"
"C48","100nF","TopLayer","CAPC1005X55N","67.8000","111.9000","180","Non-polarised capacitor"
"C48","100nF","TopLayer","CAPC1005X55N","137.8000","41.9000","180","Non-polarised capacitor"
"C48","100nF","TopLayer","CAPC1005X55N","137.8000","111.9000","180","Non-polarised capacitor"
"C49","100nF","TopLayer","CAPC1005X55N","65.9528","36.3071","0","Non-polarised capacitor"
"C49","100nF","TopLayer","CAPC1005X55N","65.9528","106.3071","0","Non-polarised capacitor"
"C49","100nF","TopLayer","CAPC1005X55N","135.9528","36.3071","0","Non-polarised capacitor"
"C49","100nF","TopLayer","CAPC1005X55N","135.9528","106.3071","0","Non-polarised capacitor"
"C50","100nF","TopLayer","CAPC1608X90N","53.8000","38.5000","90","Non-polarised capacitor"
"C50","100nF","TopLayer","CAPC1608X90N","53.8000","108.5000","90","Non-polarised capacitor"
"C50","100nF","TopLayer","CAPC1608X90N","123.8000","38.5000","90","Non-polarised capacitor"
"C50","100nF","TopLayer","CAPC1608X90N","123.8000","108.5000","90","Non-polarised capacitor"
"C75","100nF","TopLayer","CAPC1005X55N","64.7000","41.3000","90","Non-polarised capacitor"
"C75","100nF","TopLayer","CAPC1005X55N","64.7000","111.3000","90","Non-polarised capacitor"
"C75","100nF","TopLayer","CAPC1005X55N","134.7000","41.3000","90","Non-polarised capacitor"
"C75","100nF","TopLayer","CAPC1005X55N","134.7000","111.3000","90","Non-polarised capacitor"
"C76","4.7uF","TopLayer","CAPC1608X87N","65.4000","38.6500","90","Non-polarised capacitor"
"C76","4.7uF","TopLayer","CAPC1608X87N","65.4000","108.6500","90","Non-polarised capacitor"
"C76","4.7uF","TopLayer","CAPC1608X87N","135.4000","38.6500","90","Non-polarised capacitor"
"C76","4.7uF","TopLayer","CAPC1608X87N","135.4000","108.6500","90","Non-polarised capacitor"
"C86","10nF","TopLayer","CAPC1608X90N","55.5000","41.5000","270","Non-polarised capacitor"
"C86","10nF","TopLayer","CAPC1608X90N","55.5000","111.5000","270","Non-polarised capacitor"
"C86","10nF","TopLayer","CAPC1608X90N","125.5000","41.5000","270","Non-polarised capacitor"
"C86","10nF","TopLayer","CAPC1608X90N","125.5000","111.5000","270","Non-polarised capacitor"
"C87","220nF","TopLayer","CAPC1608X90N","58.9000","38.5000","270","Non-polarised capacitor"
"C87","220nF","TopLayer","CAPC1608X90N","58.9000","108.5000","270","Non-polarised capacitor"
"C87","220nF","TopLayer","CAPC1608X90N","128.9000","38.5000","270","Non-polarised capacitor"
"C87","220nF","TopLayer","CAPC1608X90N","128.9000","108.5000","270","Non-polarised capacitor"
"C88","100nF","TopLayer","CAPC1005X55N","63.3000","44.1000","180","Non-polarised capacitor"
"C88","100nF","TopLayer","CAPC1005X55N","63.3000","114.1000","180","Non-polarised capacitor"
"C88","100nF","TopLayer","CAPC1005X55N","133.3000","44.1000","180","Non-polarised capacitor"
"C88","100nF","TopLayer","CAPC1005X55N","133.3000","114.1000","180","Non-polarised capacitor"
"C89","330nF","TopLayer","CAPC1005X55N","18.2500","53.6201","90","Non-polarised capacitor"
"C89","330nF","TopLayer","CAPC1005X55N","18.2500","123.6201","90","Non-polarised capacitor"
"C89","330nF","TopLayer","CAPC1005X55N","88.2500","53.6201","90","Non-polarised capacitor"
"C89","330nF","TopLayer","CAPC1005X55N","88.2500","123.6201","90","Non-polarised capacitor"
"C90","100nF","BottomLayer","CAPC1005X55N","23.1384","16.9543","0","Non-polarised capacitor"
"C90","100nF","BottomLayer","CAPC1005X55N","23.1384","86.9543","0","Non-polarised capacitor"
"C90","100nF","BottomLayer","CAPC1005X55N","93.1384","16.9543","0","Non-polarised capacitor"
"C90","100nF","BottomLayer","CAPC1005X55N","93.1384","86.9543","0","Non-polarised capacitor"
"C92","100nF","BottomLayer","CAPC1005X55N","43.2900","44.7463","0","Non-polarised capacitor"
"C92","100nF","BottomLayer","CAPC1005X55N","43.2900","114.7463","0","Non-polarised capacitor"
"C92","100nF","BottomLayer","CAPC1005X55N","113.2900","44.7463","0","Non-polarised capacitor"
"C92","100nF","BottomLayer","CAPC1005X55N","113.2900","114.7463","0","Non-polarised capacitor"
"C93","100nF","BottomLayer","CAPC1005X55N","43.2900","34.4967","0","Non-polarised capacitor"
"C93","100nF","BottomLayer","CAPC1005X55N","43.2900","104.4967","0","Non-polarised capacitor"
"C93","100nF","BottomLayer","CAPC1005X55N","113.2900","34.4967","0","Non-polarised capacitor"
"C93","100nF","BottomLayer","CAPC1005X55N","113.2900","104.4967","0","Non-polarised capacitor"
"C94","2.2uF","BottomLayer","CAPC1608X90N","27.8477","14.2229","0","Non-polarised capacitor"
"C94","2.2uF","BottomLayer","CAPC1608X90N","27.8477","84.2229","0","Non-polarised capacitor"
"C94","2.2uF","BottomLayer","CAPC1608X90N","97.8477","14.2229","0","Non-polarised capacitor"
"C94","2.2uF","BottomLayer","CAPC1608X90N","97.8477","84.2229","0","Non-polarised capacitor"
"C95","10uF","TopLayer","CAPC2012X145N","12.3250","52.3650","270","Non-polarised capacitor"
"C95","10uF","TopLayer","CAPC2012X145N","12.3250","122.3650","270","Non-polarised capacitor"
"C95","10uF","TopLayer","CAPC2012X145N","82.3250","52.3650","270","Non-polarised capacitor"
"C95","10uF","TopLayer","CAPC2012X145N","82.3250","122.3650","270","Non-polarised capacitor"
"C96","2.2uF","BottomLayer","CAPC1608X90N","19.7977","16.9479","90","Non-polarised capacitor"
"C96","2.2uF","BottomLayer","CAPC1608X90N","19.7977","86.9479","90","Non-polarised capacitor"
"C96","2.2uF","BottomLayer","CAPC1608X90N","89.7977","16.9479","90","Non-polarised capacitor"
"C96","2.2uF","BottomLayer","CAPC1608X90N","89.7977","86.9479","90","Non-polarised capacitor"
"C97","22uF","TopLayer","CAPC2013X145N","12.3250","55.8650","90","Non-polarised capacitor"
"C97","22uF","TopLayer","CAPC2013X145N","12.3250","125.8650","90","Non-polarised capacitor"
"C97","22uF","TopLayer","CAPC2013X145N","82.3250","55.8650","90","Non-polarised capacitor"
"C97","22uF","TopLayer","CAPC2013X145N","82.3250","125.8650","90","Non-polarised capacitor"
"C99","100nF","BottomLayer","CAPC1005X55N","35.0077","25.0479","90","Non-polarised capacitor"
"C99","100nF","BottomLayer","CAPC1005X55N","35.0077","95.0479","90","Non-polarised capacitor"
"C99","100nF","BottomLayer","CAPC1005X55N","105.0077","25.0479","90","Non-polarised capacitor"
"C99","100nF","BottomLayer","CAPC1005X55N","105.0077","95.0479","90","Non-polarised capacitor"
"C100","2.2uF","BottomLayer","CAPC1608X90N","35.1718","27.4579","270","Non-polarised capacitor"
"C100","2.2uF","BottomLayer","CAPC1608X90N","35.1718","97.4579","270","Non-polarised capacitor"
"C100","2.2uF","BottomLayer","CAPC1608X90N","105.1718","27.4579","270","Non-polarised capacitor"
"C100","2.2uF","BottomLayer","CAPC1608X90N","105.1718","97.4579","270","Non-polarised capacitor"
"C101","100nF","BottomLayer","CAPC1005X55N","35.0068","23.2479","270","Non-polarised capacitor"
"C101","100nF","BottomLayer","CAPC1005X55N","35.0068","93.2479","270","Non-polarised capacitor"
"C101","100nF","BottomLayer","CAPC1005X55N","105.0068","23.2479","270","Non-polarised capacitor"
"C101","100nF","BottomLayer","CAPC1005X55N","105.0068","93.2479","270","Non-polarised capacitor"
"C102","2.2uF","BottomLayer","CAPC1608X90N","35.1718","20.8379","90","Non-polarised capacitor"
"C102","2.2uF","BottomLayer","CAPC1608X90N","35.1718","90.8379","90","Non-polarised capacitor"
"C102","2.2uF","BottomLayer","CAPC1608X90N","105.1718","20.8379","90","Non-polarised capacitor"
"C102","2.2uF","BottomLayer","CAPC1608X90N","105.1718","90.8379","90","Non-polarised capacitor"
"C103","3.3pF","TopLayer","CAPC1005X55N","41.0000","15.2000","270","Non-polarised capacitor"
"C103","3.3pF","TopLayer","CAPC1005X55N","41.0000","85.2000","270","Non-polarised capacitor"
"C103","3.3pF","TopLayer","CAPC1005X55N","111.0000","15.2000","270","Non-polarised capacitor"
"C103","3.3pF","TopLayer","CAPC1005X55N","111.0000","85.2000","270","Non-polarised capacitor"
"C104","3.3pF","TopLayer","CAPC1005X55N","36.4000","17.2000","270","Non-polarised capacitor"
"C104","3.3pF","TopLayer","CAPC1005X55N","36.4000","87.2000","270","Non-polarised capacitor"
"C104","3.3pF","TopLayer","CAPC1005X55N","106.4000","17.2000","270","Non-polarised capacitor"
"C104","3.3pF","TopLayer","CAPC1005X55N","106.4000","87.2000","270","Non-polarised capacitor"
"C105","100nF","BottomLayer","CAPC1005X55N","24.5977","21.2279","0","Non-polarised capacitor"
"C105","100nF","BottomLayer","CAPC1005X55N","24.5977","91.2279","0","Non-polarised capacitor"
"C105","100nF","BottomLayer","CAPC1005X55N","94.5977","21.2279","0","Non-polarised capacitor"
"C105","100nF","BottomLayer","CAPC1005X55N","94.5977","91.2279","0","Non-polarised capacitor"
"C106","100nF","BottomLayer","CAPC1005X55N","24.5977","20.3079","0","Non-polarised capacitor"
"C106","100nF","BottomLayer","CAPC1005X55N","24.5977","90.3079","0","Non-polarised capacitor"
"C106","100nF","BottomLayer","CAPC1005X55N","94.5977","20.3079","0","Non-polarised capacitor"
"C106","100nF","BottomLayer","CAPC1005X55N","94.5977","90.3079","0","Non-polarised capacitor"
"C107","100nF","BottomLayer","CAPC1005X55N","25.8677","19.2479","90","Non-polarised capacitor"
"C107","100nF","BottomLayer","CAPC1005X55N","25.8677","89.2479","90","Non-polarised capacitor"
"C107","100nF","BottomLayer","CAPC1005X55N","95.8677","19.2479","90","Non-polarised capacitor"
"C107","100nF","BottomLayer","CAPC1005X55N","95.8677","89.2479","90","Non-polarised capacitor"
"C108","100nF","BottomLayer","CAPC1005X55N","29.9023","23.0679","180","Non-polarised capacitor"
"C108","100nF","BottomLayer","CAPC1005X55N","29.9023","93.0679","180","Non-polarised capacitor"
"C108","100nF","BottomLayer","CAPC1005X55N","99.9023","23.0679","180","Non-polarised capacitor"
"C108","100nF","BottomLayer","CAPC1005X55N","99.9023","93.0679","180","Non-polarised capacitor"
"C109","100nF","BottomLayer","CAPC1005X55N","29.9023","22.1479","180","Non-polarised capacitor"
"C109","100nF","BottomLayer","CAPC1005X55N","29.9023","92.1479","180","Non-polarised capacitor"
"C109","100nF","BottomLayer","CAPC1005X55N","99.9023","22.1479","180","Non-polarised capacitor"
"C109","100nF","BottomLayer","CAPC1005X55N","99.9023","92.1479","180","Non-polarised capacitor"
"C110","100nF","BottomLayer","CAPC1005X55N","26.7877","19.2479","90","Non-polarised capacitor"
"C110","100nF","BottomLayer","CAPC1005X55N","26.7877","89.2479","90","Non-polarised capacitor"
"C110","100nF","BottomLayer","CAPC1005X55N","96.7877","19.2479","90","Non-polarised capacitor"
"C110","100nF","BottomLayer","CAPC1005X55N","96.7877","89.2479","90","Non-polarised capacitor"
"C111","100nF","BottomLayer","CAPC1005X55N","28.6277","25.0479","270","Non-polarised capacitor"
"C111","100nF","BottomLayer","CAPC1005X55N","28.6277","95.0479","270","Non-polarised capacitor"
"C111","100nF","BottomLayer","CAPC1005X55N","98.6277","25.0479","270","Non-polarised capacitor"
"C111","100nF","BottomLayer","CAPC1005X55N","98.6277","95.0479","270","Non-polarised capacitor"
"C112","100nF","BottomLayer","CAPC1005X55N","27.7077","19.2479","90","Non-polarised capacitor"
"C112","100nF","BottomLayer","CAPC1005X55N","27.7077","89.2479","90","Non-polarised capacitor"
"C112","100nF","BottomLayer","CAPC1005X55N","97.7077","19.2479","90","Non-polarised capacitor"
"C112","100nF","BottomLayer","CAPC1005X55N","97.7077","89.2479","90","Non-polarised capacitor"
"C113","100nF","BottomLayer","CAPC1005X55N","29.9023","21.2279","180","Non-polarised capacitor"
"C113","100nF","BottomLayer","CAPC1005X55N","29.9023","91.2279","180","Non-polarised capacitor"
"C113","100nF","BottomLayer","CAPC1005X55N","99.9023","21.2279","180","Non-polarised capacitor"
"C113","100nF","BottomLayer","CAPC1005X55N","99.9023","91.2279","180","Non-polarised capacitor"
"C114","100nF","BottomLayer","CAPC1005X55N","29.9023","20.3079","180","Non-polarised capacitor"
"C114","100nF","BottomLayer","CAPC1005X55N","29.9023","90.3079","180","Non-polarised capacitor"
"C114","100nF","BottomLayer","CAPC1005X55N","99.9023","20.3079","180","Non-polarised capacitor"
"C114","100nF","BottomLayer","CAPC1005X55N","99.9023","90.3079","180","Non-polarised capacitor"
"C115","100nF","BottomLayer","CAPC1005X55N","24.5977","23.0679","0","Non-polarised capacitor"
"C115","100nF","BottomLayer","CAPC1005X55N","24.5977","93.0679","0","Non-polarised capacitor"
"C115","100nF","BottomLayer","CAPC1005X55N","94.5977","23.0679","0","Non-polarised capacitor"
"C115","100nF","BottomLayer","CAPC1005X55N","94.5977","93.0679","0","Non-polarised capacitor"
"C116","100nF","BottomLayer","CAPC1005X55N","24.5977","23.9879","0","Non-polarised capacitor"
"C116","100nF","BottomLayer","CAPC1005X55N","24.5977","93.9879","0","Non-polarised capacitor"
"C116","100nF","BottomLayer","CAPC1005X55N","94.5977","23.9879","0","Non-polarised capacitor"
"C116","100nF","BottomLayer","CAPC1005X55N","94.5977","93.9879","0","Non-polarised capacitor"
"C117","100nF","TopLayer","CAPC1005X55N","29.2400","50.3505","180","Non-polarised capacitor"
"C117","100nF","TopLayer","CAPC1005X55N","29.2400","120.3505","180","Non-polarised capacitor"
"C117","100nF","TopLayer","CAPC1005X55N","99.2400","50.3505","180","Non-polarised capacitor"
"C117","100nF","TopLayer","CAPC1005X55N","99.2400","120.3505","180","Non-polarised capacitor"
"C118","2.2uF","TopLayer","CAPC1608X90N","29.5800","52.4251","90","Non-polarised capacitor"
"C118","2.2uF","TopLayer","CAPC1608X90N","29.5800","122.4251","90","Non-polarised capacitor"
"C118","2.2uF","TopLayer","CAPC1608X90N","99.5800","52.4251","90","Non-polarised capacitor"
"C118","2.2uF","TopLayer","CAPC1608X90N","99.5800","122.4251","90","Non-polarised capacitor"
"C119","100nF","TopLayer","CAPC1005X55N","25.5071","44.0151","90","Non-polarised capacitor"
"C119","100nF","TopLayer","CAPC1005X55N","25.5071","114.0151","90","Non-polarised capacitor"
"C119","100nF","TopLayer","CAPC1005X55N","95.5071","44.0151","90","Non-polarised capacitor"
"C119","100nF","TopLayer","CAPC1005X55N","95.5071","114.0151","90","Non-polarised capacitor"
"C120","2.2uF","TopLayer","CAPC1608X90N","24.5000","40.8000","0","Non-polarised capacitor"
"C120","2.2uF","TopLayer","CAPC1608X90N","24.5000","110.8000","0","Non-polarised capacitor"
"C120","2.2uF","TopLayer","CAPC1608X90N","94.5000","40.8000","0","Non-polarised capacitor"
"C120","2.2uF","TopLayer","CAPC1608X90N","94.5000","110.8000","0","Non-polarised capacitor"
"C121","100nF","TopLayer","CAPC1005X55N","18.3900","43.2000","270","Non-polarised capacitor"
"C121","100nF","TopLayer","CAPC1005X55N","18.3900","113.2000","270","Non-polarised capacitor"
"C121","100nF","TopLayer","CAPC1005X55N","88.3900","43.2000","270","Non-polarised capacitor"
"C121","100nF","TopLayer","CAPC1005X55N","88.3900","113.2000","270","Non-polarised capacitor"
"C122","100nF","TopLayer","CAPC1005X55N","18.3900","36.8000","90","Non-polarised capacitor"
"C122","100nF","TopLayer","CAPC1005X55N","18.3900","106.8000","90","Non-polarised capacitor"
"C122","100nF","TopLayer","CAPC1005X55N","88.3900","36.8000","90","Non-polarised capacitor"
"C122","100nF","TopLayer","CAPC1005X55N","88.3900","106.8000","90","Non-polarised capacitor"
"C124","2.2uF","TopLayer","CAPC1608X90N","16.4000","48.3000","90","Non-polarised capacitor"
"C124","2.2uF","TopLayer","CAPC1608X90N","16.4000","118.3000","90","Non-polarised capacitor"
"C124","2.2uF","TopLayer","CAPC1608X90N","86.4000","48.3000","90","Non-polarised capacitor"
"C124","2.2uF","TopLayer","CAPC1608X90N","86.4000","118.3000","90","Non-polarised capacitor"
"C126","2.2uF","TopLayer","CAPC1608X90N","24.5000","42.3000","180","Non-polarised capacitor"
"C126","2.2uF","TopLayer","CAPC1608X90N","24.5000","112.3000","180","Non-polarised capacitor"
"C126","2.2uF","TopLayer","CAPC1608X90N","94.5000","42.3000","180","Non-polarised capacitor"
"C126","2.2uF","TopLayer","CAPC1608X90N","94.5000","112.3000","180","Non-polarised capacitor"
"C127","100nF","TopLayer","CAPC1005X55N","24.5871","44.0151","90","Non-polarised capacitor"
"C127","100nF","TopLayer","CAPC1005X55N","24.5871","114.0151","90","Non-polarised capacitor"
"C127","100nF","TopLayer","CAPC1005X55N","94.5871","44.0151","90","Non-polarised capacitor"
"C127","100nF","TopLayer","CAPC1005X55N","94.5871","114.0151","90","Non-polarised capacitor"
"C128","100nF","TopLayer","CAPC1005X55N","29.2400","48.3105","180","Non-polarised capacitor"
"C128","100nF","TopLayer","CAPC1005X55N","29.2400","118.3105","180","Non-polarised capacitor"
"C128","100nF","TopLayer","CAPC1005X55N","99.2400","48.3105","180","Non-polarised capacitor"
"C128","100nF","TopLayer","CAPC1005X55N","99.2400","118.3105","180","Non-polarised capacitor"
"C129","2.2uF","TopLayer","CAPC1608X90N","29.7050","47.1005","180","Non-polarised capacitor"
"C129","2.2uF","TopLayer","CAPC1608X90N","29.7050","117.1005","180","Non-polarised capacitor"
"C129","2.2uF","TopLayer","CAPC1608X90N","99.7050","47.1005","180","Non-polarised capacitor"
"C129","2.2uF","TopLayer","CAPC1608X90N","99.7050","117.1005","180","Non-polarised capacitor"
"C130","3.3pF","TopLayer","CAPC1005X55N","31.6000","53.0000","180","Non-polarised capacitor"
"C130","3.3pF","TopLayer","CAPC1005X55N","31.6000","123.0000","180","Non-polarised capacitor"
"C130","3.3pF","TopLayer","CAPC1005X55N","101.6000","53.0000","180","Non-polarised capacitor"
"C130","3.3pF","TopLayer","CAPC1005X55N","101.6000","123.0000","180","Non-polarised capacitor"
"C131","3.3pF","TopLayer","CAPC1005X55N","34.4400","48.6000","90","Non-polarised capacitor"
"C131","3.3pF","TopLayer","CAPC1005X55N","34.4400","118.6000","90","Non-polarised capacitor"
"C131","3.3pF","TopLayer","CAPC1005X55N","104.4400","48.6000","90","Non-polarised capacitor"
